100	99	92	91	76	75	52	51	20	19	
97	98	93	90	77	74	53	50	21	18	
96	95	94	89	78	73	54	49	22	17	
85	86	87	88	79	72	55	48	23	16	
84	83	82	81	80	71	56	47	24	15	
65	66	67	68	69	70	57	46	25	14	
64	63	62	61	60	59	58	45	26	13	
37	38	39	40	41	42	43	44	27	12	
36	35	34	33	32	31	30	29	28	11	
1	2	3	4	5	6	7	8	9	10	
================================================================
10000	9801	8464	8281	5776	5625	2704	2601	400	361	
9409	9604	8649	8100	5929	5476	2809	2500	441	324	
9216	9025	8836	7921	6084	5329	2916	2401	484	289	
7225	7396	7569	7744	6241	5184	3025	2304	529	256	
7056	6889	6724	6561	6400	5041	3136	2209	576	225	
4225	4356	4489	4624	4761	4900	3249	2116	625	196	
4096	3969	3844	3721	3600	3481	3364	2025	676	169	
1369	1444	1521	1600	1681	1764	1849	1936	729	144	
1296	1225	1156	1089	1024	961	900	841	784	121	
1	4	9	16	25	36	49	64	81	100	
